merchant_id,merchant_type,product_category,product_name,date,day_of_week,weekend_flag,promotion_flag,original_price,production_quantity,sold_quantity,surplus_quantity,shelf_life_hours,preparation_time,storage_type,current_time,holding_time_hours,day_pattern,is_holiday_period
CAF001,Café,Coffee & Beverages,Latte,2026-01-06,1,0,0,5.28,16,14,2,4,5,Frozen,06:05,1.7,midweek,0
CAF001,Café,Desserts,Cheesecake,2026-01-06,1,0,0,10.3,44,40,4,41,10,Refrigerated,09:10,3.1,midweek,0
CAF001,Café,Sandwiches,Veggie Panini,2026-01-06,1,0,0,7.51,34,30,4,14,5,Frozen,09:34,1.4,midweek,0
CAF001,Café,Pastries,Blueberry Muffin,2026-01-06,1,0,0,6.82,49,44,5,36,5,Refrigerated,06:42,1.7,midweek,0
CAF002,Café,Coffee & Beverages,Americano,2026-01-06,1,0,0,6.09,33,29,4,6,2,Refrigerated,08:10,2.6,midweek,0
CAF002,Café,Salads,Greek Salad,2026-01-06,1,0,0,9.82,34,30,4,47,11,Frozen,08:53,3.3,midweek,0
CAF003,Café,Salads,Greek Salad,2026-01-06,1,0,0,13.57,46,41,5,43,14,Refrigerated,09:41,2.4,midweek,0
CAF003,Café,Sandwiches,BLT,2026-01-06,1,0,0,9.69,47,41,6,17,8,Refrigerated,10:08,2.5,midweek,0
CAF003,Café,Coffee & Beverages,Cappuccino,2026-01-06,1,0,0,5.03,20,16,4,4,5,Refrigerated,07:29,2.6,midweek,0
CAF004,Café,Coffee & Beverages,Americano,2026-01-06,1,0,0,4.89,37,33,4,6,3,Ambient,08:06,3.6,midweek,0
CAF004,Café,Sandwiches,Veggie Panini,2026-01-06,1,0,0,11.21,42,37,5,11,13,Ambient,10:59,2.6,midweek,0
CAF005,Café,Coffee & Beverages,Americano,2026-01-06,1,0,0,5.34,25,22,3,4,5,Frozen,09:48,2.6,midweek,0
CAF005,Café,Sandwiches,BLT,2026-01-06,1,0,0,7.83,43,39,4,12,13,Refrigerated,09:44,1.6,midweek,0
BAK001,Bakery,Cakes,Victoria Sponge,2026-01-06,1,0,0,8.98,23,18,5,77,33,Refrigerated,07:04,3.1,midweek,0
BAK001,Bakery,Cookies,Chocolate Chip,2026-01-06,1,0,0,3.07,19,16,3,228,9,Ambient,08:13,2.6,midweek,0
BAK001,Bakery,Tarts,Bakewell Tart,2026-01-06,1,0,0,6.39,75,66,9,30,23,Ambient,07:26,2.4,midweek,0
BAK001,Bakery,Pastries,Pain au Chocolat,2026-01-06,1,0,0,3.74,58,48,10,36,1,Ambient,08:08,2.3,midweek,0
BAK002,Bakery,Cookies,Chocolate Chip,2026-01-06,1,0,0,4.13,16,13,3,228,7,Frozen,08:30,1.6,midweek,0
BAK002,Bakery,Bread,Ciabatta,2026-01-06,1,0,0,4.01,64,56,8,82,4,Refrigerated,08:46,4.0,midweek,0
BAK003,Bakery,Pastries,Danish Pastry,2026-01-06,1,0,0,7.37,22,18,4,61,3,Ambient,08:54,2.6,midweek,0
BAK003,Bakery,Cakes,Victoria Sponge,2026-01-06,1,0,0,14.69,25,21,4,56,36,Ambient,09:25,1.4,midweek,0
BAK004,Bakery,Bread,Baguette,2026-01-06,1,0,0,5.02,55,44,11,62,7,Refrigerated,07:48,3.8,midweek,0
BAK004,Bakery,Tarts,Bakewell Tart,2026-01-06,1,0,0,8.48,24,18,6,32,21,Refrigerated,09:56,1.7,midweek,0
BAK004,Bakery,Pastries,Almond Twist,2026-01-06,1,0,0,6.31,16,12,4,66,0,Refrigerated,10:08,1.8,midweek,0
BAK004,Bakery,Cakes,Carrot Cake,2026-01-06,1,0,0,9.18,41,35,6,81,31,Ambient,08:57,3.7,midweek,0
BAK005,Bakery,Bread,Whole Wheat Loaf,2026-01-06,1,0,0,7.19,48,39,9,78,8,Refrigerated,06:04,3.8,midweek,0
BAK005,Bakery,Tarts,Lemon Tart,2026-01-06,1,0,0,6.68,62,52,10,32,11,Ambient,07:57,3.8,midweek,0
BAK005,Bakery,Pastries,Apple Turnover,2026-01-06,1,0,0,4.34,46,37,9,59,3,Refrigerated,10:47,1.5,midweek,0
FNB001,Small F&B,Soup & Sides,Edamame,2026-01-06,1,0,0,6.95,41,34,7,27,9,Refrigerated,07:44,1.3,midweek,0
FNB001,Small F&B,Rice Dishes,Teriyaki Don,2026-01-06,1,0,0,9.4,49,43,6,7,22,Frozen,06:12,2.2,midweek,0
FNB002,Small F&B,Bento Sets,Sushi Set,2026-01-06,1,0,0,14.65,21,18,3,11,38,Frozen,10:16,1.1,midweek,0
FNB002,Small F&B,Soup & Sides,Korokke,2026-01-06,1,0,0,5.74,40,35,5,19,11,Frozen,09:12,1.8,midweek,0
FNB002,Small F&B,Desserts,Red Bean Soup,2026-01-06,1,0,0,10.12,32,27,5,66,20,Ambient,08:42,3.5,midweek,0
