n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,val_MAE_mean,val_MAE_std,train_MAE_mean,rank
93,26,27,2,sqrt,False,1.1064567721484504,0.38512456353365065,0.6608048516789115,1
224,7,6,3,sqrt,False,1.176016493808953,0.4543341414482752,0.9257199818111406,2
144,14,15,4,log2,False,1.292901768461008,0.7329314799651492,0.6438342062054977,3
296,12,17,1,log2,True,1.3250802785918323,0.7865933753581352,0.8352222271136311,4
133,13,3,5,log2,False,1.342541933777327,0.8099236510279436,0.621155209912285,5
285,26,25,2,sqrt,True,1.375311120942995,0.8937312093801087,0.8321304889318955,6
290,14,8,3,sqrt,True,1.379830044517577,0.9735293875407282,0.6519257637351904,7
54,7,28,1,,False,1.3907744466423686,0.8243533806408474,0.6358032842540251,8
124,11,24,3,log2,True,1.3953222468523052,0.8697091389979302,0.9454958652677566,9
296,7,27,5,sqrt,False,1.3957531205932496,0.8463282495842414,0.9979172329098634,10
153,28,13,3,sqrt,True,1.4040899174867125,0.9548382278912355,0.7234178782079781,11
201,28,9,4,sqrt,True,1.4208927235612925,1.018888709349782,0.6912393798142213,12
180,16,26,4,,True,1.4486499567952826,1.3313642007568705,0.5747385020232658,13
153,18,19,4,sqrt,True,1.4600297761914347,1.0447127573005837,0.8215135849983437,14
216,23,10,5,,True,1.4655103533698006,1.341766685301497,0.4607858336756583,15
155,6,23,6,log2,False,1.4705962646365003,0.9156108187727541,1.1316057364231469,16
178,29,25,9,,True,1.4931568892075497,1.383275844421514,0.6023452086514539,17
256,18,10,11,,True,1.5034777736124583,1.3880591063356125,0.6023941667363495,18
298,19,29,7,log2,False,1.5110780299844055,1.1030585940419397,0.8418850648996535,19
239,14,16,14,,True,1.5118710542161606,1.3923986284577143,0.6399306943930949,20
184,11,29,9,log2,False,1.5478397228424694,1.167682928938136,0.9016954905077093,21
98,26,26,12,sqrt,False,1.5639058882923198,1.251032414594316,0.8244436198921493,22
210,10,22,12,log2,False,1.5688562185507722,1.2226364437518449,0.9223736420675495,23
94,17,16,13,sqrt,False,1.5714553332621086,1.2648073702664169,0.8465715726571752,24
160,12,19,13,sqrt,False,1.5757673677011088,1.2753809390416415,0.8643924923547754,25
238,24,9,11,sqrt,True,1.5837177914130793,1.2569012165045945,0.9605239681618848,26
291,8,15,12,sqrt,False,1.5884259179742584,1.268749611113149,0.941733349591267,27
237,28,29,9,log2,True,1.6032039724489402,1.2453485558798376,1.025993689279972,28
224,19,9,12,,False,1.649893237382042,1.2461753200381502,0.6173226903261408,29
130,12,20,11,,False,1.6697758181697164,1.2790939587072092,0.6077020991824831,30
